name,description,department,dimentions,hastes,composition,available_membership,old_url_photo,photo
flroes azuis,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5807039_orig.jpg,5807039_orig.jpg
flores amarelas 3,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3569674_orig.jpg,3569674_orig.jpg
vermelhs 3,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5876965_orig.jpg,5876965_orig.jpg
flores lilas,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5216398_orig.jpg,5216398_orig.jpg
vermelhas 4,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/8250785_orig.jpg,8250785_orig.jpg
brancas,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/1484779_orig.jpg,1484779_orig.jpg
vermelhas 5,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/714722_orig.jpg,714722_orig.jpg
lilas 3,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6370896_orig.jpg,6370896_orig.jpg
noiva 1,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/9131156_orig.jpg,9131156_orig.jpg
Amsterdam no Brasil,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/2851729_orig.jpg,2851729_orig.jpg
Branco 2,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/1530853_orig.jpg,1530853_orig.jpg
Sorvete morango e vanilha,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3189121_orig.jpg,3189121_orig.jpg
Sangue e paixão,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6957553_orig.jpg,6957553_orig.jpg
Amiga da noiva,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3370869_orig.jpg,3370869_orig.jpg
Calma e claridade,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3842527_orig.jpg,3842527_orig.jpg
A primaveira ta vindo,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/7773828_orig.jpg,7773828_orig.jpg
Elegancia branca,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5257615_orig.jpg,5257615_orig.jpg
Vinhedo tropical,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3201916_orig.jpg,3201916_orig.jpg
meditação na floresta,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3995028_orig.jpg,3995028_orig.jpg
Não me falta mais nada,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/9650503_orig.jpg,9650503_orig.jpg
Prazer estar aqui,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3617446_orig.jpg,3617446_orig.jpg
Planejamento é sucesso,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/516784_orig.jpg,516784_orig.jpg
Deu tudo certo,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/947681_orig.jpg,947681_orig.jpg
Think outside the box,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6170217_orig.jpg,6170217_orig.jpg
A preparação é chave,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/13139236-1182248875132230-7081288156428258112-n_orig.jpg,13139236-1182248875132230-7081288156428258112-n_orig.jpg
Petit Comité ,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/13267868-1195744520449332-7060238130280394522-n_orig.jpg,13267868-1195744520449332-7060238130280394522-n_orig.jpg
Assambleia geral,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/11228540-1016508818372904-3133976864642561710-o_orig.jpg,13267868-1195744520449332-7060238130280394522-n_orig.jpg
Diversidade e progresso,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/12474006-1126608404029611-5535204751237402196-o-1_orig.jpg,12474006-1126608404029611-5535204751237402196-o-1_orig.jpg
Poder de marca,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/12189491-1069063926450726-609740716436542942-o-1_orig.jpg,12189491-1069063926450726-609740716436542942-o-1_orig.jpg
Conquistas em equipe,inserir descrição charmosa aqui,decoração no escritório,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/13932808-1251143001576150-8345296805831779429-n-1_orig.jpg,13932808-1251143001576150-8345296805831779429-n-1_orig.jpg
Harmonia no coração,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6818144_orig.jpg,6818144_orig.jpg
Vai Brasil,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3655766_orig.jpg,3655766_orig.jpg
Foco no que é importante,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/7708468_orig.jpg,7708468_orig.jpg
A delicadeza é para os fortes,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5447929_orig.jpg,5447929_orig.jpg
Nunca imaginei isso,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/7023825_orig.jpg,7023825_orig.jpg
Paixão no trópico,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/1783878_orig.jpg,1783878_orig.jpg
Esparança imbatível,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5237818_orig.jpg,5237818_orig.jpg
Pensando em Japão,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/7322406_orig.jpg,7322406_orig.jpg
Que venha o amanhã,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/9611001_orig.jpg,9611001_orig.jpg
O conquistamos juntos,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/9159879_orig.jpg,9159879_orig.jpg
Novos horizontes,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6133527_orig.jpg,6133527_orig.jpg
Tão original quanto você,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5263320_orig.jpg,5263320_orig.jpg
Melhores lembranças,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/1709605_orig.jpg,1709605_orig.jpg
Agora é a sua vez,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/1537868_orig.jpg,1537868_orig.jpg
Melhor que no colegio,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6383661_orig.jpg,6383661_orig.jpg
Você ilumina meu dia,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/4956023_orig.jpg,4956023_orig.jpg
Nós na torcida,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/1392306_orig.jpg,1392306_orig.jpg
Força com estilo,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/2782935_orig.jpg,2782935_orig.jpg
Sonho de uma noite de verão,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/1598614_orig.jpg,1598614_orig.jpg
Hoje é um dia perfeito,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/11893923-1039476499409469-3249575208443392268-o_orig.jpg,11893923-1039476499409469-3249575208443392268-o_orig.jpg
Inspiração é chave,inserir descrição charmosa aqui,ambientes principaís,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/740106-784900548200400-1680839679000543003-o_orig.jpg,45317385/740106-784900548200400-1680839679000543003-o_orig.jpg
Sejam bem-vindos,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/4835085_orig.jpg,4835085_orig.jpg
Aguardavamos por vocês,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/4104292_orig.jpg,4104292_orig.jpg
Mais do que você imaginava,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5430191_orig.jpg,5430191_orig.jpg
Em um dia como hoje,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5722770_orig.jpg,5722770_orig.jpg
O charme do dia,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5319901_orig.jpg,5319901_orig.jpg
Sabores de um dia ensolarado,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/2959934_orig.jpg,2959934_orig.jpg
O convidado distinguido,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3985436_orig.jpg,3985436_orig.jpg
Com você tudo é melhor,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3018260_orig.jpg,3018260_orig.jpg
Prontos para começar,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/8125248_orig.jpg,8125248_orig.jpg
É hoje,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/829755_orig.jpg,829755_orig.jpg
Ta liberado para se divertir,inserir descrição charmosa aqui,arranjo de mesa,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/9214642_orig.jpg,9214642_orig.jpg
